year,x,y,value
2018,-31.99499913204676,83.56498776622708,-12.140000343322752
2018,-29.99499918630229,83.53498777206458,-12.119999885559082
2018,-25.994999294813425,83.31498781487292,-13.0600004196167
2018,-29.99499918630229,83.30498781681875,-15.779999732971191
2018,-39.99499891502453,83.29498781876458,-13.630000114440918
2018,-41.99499886076896,83.24498782849376,-14.09000015258789
2018,-43.99499880651342,83.11498785378959,-15.470000267028809
2018,-73.99499799268008,83.07498786157292,-12.960000038146973
2018,-69.99499810119119,83.07498786157292,-15.479999542236328
2018,-33.99499907779119,83.04498786741041,-17.1200008392334
2018,-75.99499793842453,83.02498787130207,-15.029999732971191
2018,-45.99499875225786,82.93498788881458,-14.130000114440918
2018,-25.994999294813425,82.90498789465208,-14.989999771118164
2018,-71.99499804693563,82.88498789854374,-15.039999961853027
2018,-79.9949978299134,82.85498790438125,-13.640000343322752
2018,-65.9949982097023,82.82498791021875,-15.529999732971191
2018,-27.994999240557856,82.79498791605624,-15.829999923706055
2018,-43.99499880651342,82.74498792578542,-18.32999992370605
2018,-65.9949982097023,82.55498796275624,-14.6899995803833
2018,-31.99499913204676,82.52498796859376,-18.049999237060543
2018,-79.9949978299134,82.49498797443125,-17.829999923706055
2018,-49.994998643746754,82.48498797637708,-15.140000343322752
2018,-61.99499831821342,82.47498797832291,-14.880000114440918
2018,-75.99499793842453,82.43498798610625,-17.299999237060547
2018,-41.99499886076896,82.42498798805208,-18.350000381469727
2018,-35.99499902353563,82.40498799194374,-18.6299991607666
2018,-61.99499831821342,82.33498800556458,-14.989999771118164
2018,-49.994998643746754,82.31498800945624,-16.219999313354492
2018,-23.99499934906896,82.30498801140207,-14.479999542236328
2018,-55.99499848098009,82.24498802307708,-14.859999656677246
2018,-35.99499902353563,82.19498803280625,-17.709999084472656
2018,-25.994999294813425,82.19498803280625,-15.909999847412108
2018,-85.99499766714675,82.15498804058959,-17.219999313354492
2018,-69.99499810119119,82.10498805031875,-18.489999771118164
2018,-67.99499815544675,82.08498805421041,-16.219999313354492
2018,-87.99499761289118,82.07498805615624,-16.6200008392334
2018,-83.9949977214023,82.02498806588542,-18.65999984741211
