year,x,y,value
2008,-31.99499913204676,83.56498776622708,0.2000000029802322
2008,-25.994999294813425,83.31498781487292,0.1000000014901161
2008,-39.99499891502453,83.29498781876458,0.2000000029802322
2008,-31.99499913204676,83.28498782071041,0.1000000014901161
2008,-31.99499913204676,83.27498782265624,0.1000000014901161
2008,-43.99499880651342,83.11498785378959,0.3000000119209289
2008,-73.99499799268008,83.07498786157292,0.2000000029802322
2008,-69.99499810119119,83.07498786157292,0.1000000014901161
2008,-43.99499880651342,83.04498786741041,0.1000000014901161
2008,-35.99499902353563,82.97498788103125,0.2000000029802322
2008,-25.994999294813425,82.90498789465208,0.1000000014901161
2008,-77.99499788416897,82.88498789854374,0.2000000029802322
2008,-79.9949978299134,82.85498790438125,0.1000000014901161
2008,-23.99499934906896,82.85498790438125,0.1000000014901161
2008,-65.9949982097023,82.82498791021875,0.3000000119209289
2008,-47.99499869800229,82.76498792189376,0.2000000029802322
2008,-71.99499804693563,82.68498793746042,0.1000000014901161
2008,-29.99499918630229,82.66498794135208,0.1000000014901161
2008,-45.99499875225786,82.49498797443125,0.4000000059604644
2008,-61.99499831821342,82.47498797832291,0.3000000119209289
2008,-67.99499815544675,82.45498798221458,0.2000000029802322
2008,-49.994998643746754,82.4149879899979,0.5
2008,-81.99499777565785,82.39498799388959,0.1000000014901161
2008,-41.99499886076896,82.39498799388959,0.1000000014901161
2008,-33.99499907779119,82.36498799972708,0.1000000014901161
2008,-49.994998643746754,82.31498800945624,0.1000000014901161
2008,-23.99499934906896,82.30498801140207,0.1000000014901161
2008,-55.99499848098009,82.24498802307708,0.2000000029802322
2008,-75.99499793842453,82.21498802891458,0.1000000014901161
2008,-43.99499880651342,82.18498803475208,0.1000000014901161
2008,-85.99499766714675,82.1449880425354,0.1000000014901161
2008,-61.99499831821342,82.11498804837292,0.3000000119209289
2008,-69.99499810119119,81.98498807366873,0.2000000029802322
2008,-29.99499918630229,81.92498808534374,0.1000000014901161
2008,-51.99499858949119,81.89498809118125,0.1000000014901161
2008,-89.99499755863563,81.88498809312708,0.1000000014901161
2008,-69.99499810119119,81.88498809312708,0.2000000029802322
2008,-83.9949977214023,81.84498810091041,0.1000000014901161
2008,-29.99499918630229,81.83498810285624,0.2000000029802322
2008,-57.99499842672452,81.79498811063958,0.2000000029802322
2008,58.004998426453255,81.78498811258542,0.1000000014901161
2008,-47.99499869800229,81.68498813204374,0.1000000014901161
2008,-19.99499945758009,81.67498813398959,0.1000000014901161
2008,-33.99499907779119,81.6649881359354,0.1000000014901161
2008,-21.994999403324528,81.6649881359354,0.1000000014901161
2008,-77.99499788416897,81.65498813788125,0.1000000014901161
2008,-75.99499793842453,81.56498815539376,0.1000000014901161
2008,-33.99499907779119,81.52498816317708,0.1000000014901161
2008,-25.994999294813425,81.48498817096042,0.1000000014901161
2008,-65.9949982097023,81.46498817485208,0.1000000014901161
2008,-47.99499869800229,81.40498818652708,0.1000000014901161
2008,-53.99499853523564,81.37498819236458,0.2000000029802322
2008,-69.99499810119119,81.36498819431041,0.1000000014901161
2008,-93.99499745012453,81.35498819625624,0.2000000029802322
2008,-87.99499761289118,81.30498820598542,0.1000000014901161
2008,-27.994999240557856,81.29498820793125,0.1000000014901161
2008,-93.99499745012453,81.28498820987708,0.2000000029802322
2008,-85.99499766714675,81.28498820987708,0.1000000014901161
2008,-13.99499962034676,81.28498820987708,0.1000000014901161
2008,58.004998426453255,81.2149882234979,0.1000000014901161
2008,-61.99499831821342,81.12498824101041,0.1000000014901161
2008,-77.99499788416897,81.11498824295624,0.2000000029802322
2008,-19.99499945758009,81.0949882468479,0.1000000014901161
2008,-75.99499793842453,81.04498825657708,0.1000000014901161
2008,94.00499744985328,81.02498826046873,0.1000000014901161
2008,-67.99499815544675,80.9749882701979,0.1000000014901161
2008,-23.99499934906896,80.91498828187292,0.1000000014901161
2008,50.00499864347545,80.91498828187292,0.1000000014901161
2008,-61.99499831821342,80.80498830327709,0.1000000014901161
2008,-15.994999566091195,80.77498830911458,0.1000000014901161
2008,-91.99499750438008,80.72498831884374,0.2000000029802322
2008,-87.99499761289118,80.72498831884374,0.2000000029802322
2008,-85.99499766714675,80.7049883227354,0.2000000029802322
2008,-71.99499804693563,80.69498832468125,0.1000000014901161
2008,-95.99499739586896,80.68498832662708,0.1000000014901161
2008,-95.99499739586896,80.6749883285729,0.2000000029802322
2008,-25.994999294813425,80.6749883285729,0.1000000014901161
2008,-81.99499777565785,80.63498833635624,0.1000000014901161
2008,-15.994999566091195,80.62498833830207,0.1000000014901161
2008,58.004998426453255,80.62498833830207,0.1000000014901161
2008,54.00499853496436,80.59498834413958,0.1000000014901161
2008,-77.99499788416897,80.52498835776042,0.1000000014901161
2008,20.0049994573088,80.52498835776042,0.1000000014901161
2008,-65.9949982097023,80.48498836554374,0.1000000014901161
2008,-19.99499945758009,80.47498836748959,0.2000000029802322
2008,20.0049994573088,80.47498836748959,0.1000000014901161
2008,24.004999348797696,80.47498836748959,0.1000000014901161
2008,26.004999294542127,80.45498837138125,0.1000000014901161
2008,60.00499837219769,80.42498837721875,0.1000000014901161
2008,-59.99499837246897,80.39498838305624,0.1000000014901161
2008,92.00499750410879,80.36498838889376,0.1000000014901161
2008,-21.994999403324528,80.35498839083958,0.1000000014901161
2008,-63.99499826395785,80.32498839667709,0.1000000014901161
2008,56.004998480708814,80.2549884102979,0.1000000014901161
2008,-71.99499804693563,80.24498841224374,0.1000000014901161
2008,24.004999348797696,80.18498842391875,0.1000000014901161
